Security Id,Security Name
AISHWARYA,Aishwarya Technologies And Telecom Ltd
AJANTPHARM,AJANTA PHARMA LTD.
AJANTSOY,AJANTA SOYA LTD.
AJCON,AJCON GLOBAL SERVICES LTD.
AJEL,AJEL LTD.
AJMERA,AJMERA REALTY & INFRA INDIA LTD.
AJWAFUN,AJWA FUN WORLD & RESORT LTD.
AAIL,Akar Auto Industries Ltd
AKI,AKI India Ltd
AKM,AKM Creations Ltd
AKSHOPTFBR,AKSH OPTIFIBRE LTD.
AKSHAR,Akshar Spintex Ltd
AKSCHEM,AKSHARCHEM (INDIA) LTD.-$
AKZOINDIA,Akzo Nobel India Limited
ALSL,Alacrity Securities Ltd
ALAN SCOTT,Alan Scott Industries Ltd
ALANKIT,Alankit Ltd
ALBERTDA,ALBERT DAVID LTD.-$
ALCHCORP,ALCHEMIST CORPORATION LTD.
ALEMBICLTD,ALEMBIC LTD.
APLLTD,ALEMBIC PHARMACEUTICALS LTD.
ALEXANDER,Alexander Stamps And Coin Ltd
ALFAICA,ALFA ICA (INDIA) LTD.
ALFATRAN,ALFA TRANSFORMERS LTD.
ALFAVIO,ALFAVISION OVERSEAS (INDIA) LTD.
ALFREDHE,ALFRED HERBERT (INDIA) LTD.
AQFINTECH,Algoquant Fintech Ltd
ALICON,Alicon Castalloy Limited
ALKALI,ALKALI METALS LTD.
ALKEM,Alkem Laboratories Ltd
ALKOSIGN,Alkosign Ltd
ALKYLAMINE,ALKYL AMINES CHEMICALS LTD.-$
ALLCARGO,ALLCARGO LOGISTICS LTD.
ATL,Allcargo Terminals Ltd
AIML,ALLIANCE INTEGRATED METALIKS LTD.
ADSL,ALLIED DIGITAL SERVICES LTD.
ALLSEC,ALLSEC TECHNOLOGIES LTD.
ALMONDZ,ALMONDZ GLOBAL SECURITIES LTD.
ALNATRD,ALNA TRADING & EXPORTS LTD.
ALOKTEXT,ALOK INDUSTRIES LTD.
ALPA,ALPA LABORATORIES LTD.
ALPHAGEO,ALPHAGEO (INDIA) LTD.-$
ALPHAIND,Alphalogic Industries Ltd
ALPHALOGIC,Alphalogic Techsys Ltd
ALPINEHOU,ALPINE HOUSING DEVELOPMENT CORPORATION LTD.
ALPSINDUS,ALPS INDUSTRIES LTD.
ALSTONE,Alstone Textiles (India) Ltd
ALUFLUOR,ALUFLUORIDE LTD.
AMAL,AMAL LTD.
AMALGAM,AMALGAMATED ELECTRICITY CO.LTD.
AMANAYA,Amanaya Ventures Ltd
ARE&M,Amara Raja Energy & Mobility Ltd
AMARJOTHI,AMARJOTHI SPINNING MILLS LTD.
AMARSEC,Amarnath Securities Ltd
AEL,Amba Enterprises Ltd
AMBALALSA,AMBALAL SARABHAI ENTERPRISES LTD.
AMBARPIL,Ambar Protein Industries Ltd
AIHL,Ambassador Intra Holdings Ltd
AMBER,Amber Enterprises India Ltd
AMBICAAGAR,AMBICA AGARBATHIES & AROMA INDUSTRIES LTD.
AMBIKCO,AMBIKA COTTON MILLS LTD.
AMBITION,Ambition Mica Ltd
AMBIT,AMBITIOUS PLASTOMAC COMPANY LTD.
AMBOAGRI,Ambo Agritec Ltd
AMBUJACEM,AMBUJA CEMENTS LTD.
AMCOIND,AMCO INDIA LTD.-$
AMDIND,AMD INDUSTRIES LTD.
AMERISE,Amerise Biosciences Ltd
AMFORG,AMFORGE INDUSTRIES LTD.
AMIORG,Ami Organics Ltd
AMINTAN,Amin Tannery Ltd
AMNPLST,AMINES & PLASTICIZERS LTD.
AMITINT,AMIT INTERNATIONAL LTD.
AMJLAND,AMJ Land Holdings Ltd
ACFSL,Amrapali Capital and Finance Services Ltd
AMRAFIN,Amrapali Fincap Ltd
AMRAPLIN,AMRAPALI INDUSTRIES LTD.
AMRAAGRI,AMRAWORLD AGRICO LTD.
AMRUTANJAN,AMRUTANJAN HEALTH CARE LTD.-$
AMS,AMS Polymers Ltd
ANANDPROJ,Anand Projects Ltd
ANANDRATHI,Anand Rathi Wealth Ltd
ARL,Anand Rayons Ltd
ANANTRAJ,Anant Raj Limited-$
ACL,ANDHRA CEMENTS LTD.
ANDHRAPAP,Andhra Paper Ltd
ANDHRAPET,ANDHRA PETROCHEMICALS LTD.
ANDHRSUGAR,ANDHRA SUGARS LTD.
ANDREWYU,ANDREW YULE & COMPANY LTD.
ANERI,Aneri Fincap Ltd
ANG,ANG Lifesciences India Ltd
ANGEL,Angel Fibers Ltd
ANGELONE,Angel One Ltd
ANIKINDS,ANIK INDUSTRIES LTD.
ANJANIFIN,ANJANI FINANCE LTD.
ANJANIFOODS,Anjani Foods Ltd
APCL,ANJANI PORTLAND CEMENT LTD.-$
ANJANI,ANJANI SYNTHETICS LTD.-$
ANKIN,ANKA INDIA LTD.
ANKITMETAL,ANKIT METAL & POWER LTD.
ANMOL,Anmol India Ltd
ANNAINFRA,ANNA INFRASTRUCTURES LTD.
ANSINDUS,ANS Industries Ltd
ANSALBU,ANSAL BUILDWELL LTD.-$
ANSALHSG,Ansal Housing Ltd-$
ANSALAPI,ANSAL PROPERTIES & INFRASTRUCTURE LTD.
ANSHNCO,ANSHUNI COMMERCIALS LTD.
ANTARIKSH,Antariksh Industries Ltd
AWHCL,Antony Waste Handling Cell Ltd
ANUHPHR,ANUH PHARMA LTD.
ANUPAM,Anupam Finserv Ltd
ANURAS,Anupam Rasayan India Ltd
ANUROOP,Anuroop Packaging Ltd
APARINDS,APAR INDUSTRIES LTD.
APCOTEXIND,APCOTEX INDUSTRIES LTD.
ACFL,Apex Capital And Finance Ltd
APEX,Apex Frozen Foods Ltd
APIS,APIS INDIA LTD.
APLAPOLLO,APL APOLLO TUBES LTD.
APLAB,APLAB LTD.-$
APMIN,APM INDUSTRIES LTD.-$
APOLLOFI,APOLLO FINVEST (INDIA) LTD.
APOLLOHOSP,APOLLO HOSPITALS ENTERPRISE LTD.
APOLLO,Apollo Micro Systems Ltd
APOLLOPIPES,Apollo Pipes Ltd
APOLLOTYRE,APOLLO TYRES LTD.
APOORVA,Apoorva Leasing Finance and Investment Company Ltd
APTPACK,APT PACKAGING LTD.
APTECHT,APTECH LTD.
APTUS,Aptus Value Housing Finance India Ltd
ARAVALIS,ARAVALI SECURITIES & FINANCE LTD.
ARCFIN,ARC Finance Ltd
ARCEEIN,ARCEE INDUSTRIES LTD.
SSLFINANCE,ARCHANA SOFTWARE LTD.
ACI,Archean Chemical Industries Ltd
ADL,Archidply Decor Ltd
ARCHIDPLY,ARCHIDPLY INDUSTRIES LTD.
ARCHIES,ARCHIES LTD.
ARCHITORG,ARCHIT ORGANOSYS LTD.
ARCL,ARCL Organics Ltd
AREXMIS,AREX INDUSTRIES LTD.
ARFIN,Arfin India Ltd
ARIES,ARIES AGRO LTD.
ARIHCAPM,ARIHANT CAPITAL MARKETS LTD.
ARIHANT,ARIHANT FOUNDATIONS & HOUSING LTD.-$
ASL,Arihant Superstructures Limited
ARISE,ARIHANT'S SECURITIES LTD.
ARISINT,ARIS INTERNATIONAL LTD.
ARMANFIN,ARMAN FINANCIAL SERVICES LTD.
ARMAN,Arman Holdings Ltd
ARNOLD,Arnold Holdings Ltd
AROGRANITE,ARO GRANITE INDUSTRIES LTD.-$
AROMAENT,AROMA ENTERPRISES (INDIA) LTD.
ARROWGREEN,Arrow Greentech Ltd
ARSHIYA,Arshiya Limited
ARSSINFRA,ARSS INFRASTRUCTURE PROJECTS LTD.
ARTEFACT,ARTEFACT PROJECTS LTD.
AEPL,Artemis Electricals and Projects Ltd
ARTEMISMED,Artemis Medicare Services Ltd
ARTSONEN,ARTSON ENGINEERING LTD.
ARUNAHTEL,ARUNA HOTELS LTD.
ARUNIS,Arunis Abode Ltd
ABVL,Arunjyoti Bio Ventures Ltd
ARVINDFASN,Arvind Fashions Ltd
ARVIND,ARVIND LTD.
ARVSMART,Arvind SmartSpaces Ltd
ARYACAPM,Aryaman Capital Markets Ltd
ARYAMAN,ARYAMAN FINANCIAL SERVICES LTD.
ARYAN,Aryan Share and Stock Brokers Ltd
ARYAVAN,Aryavan Enterprise Ltd
ASAHIINDIA,ASAHI INDIA GLASS LTD.
ASAHISONG,ASAHI SONGWON COLORS LTD.
ASARFI,Asarfi Hospital Ltd
ASHAPURMIN,ASHAPURA MINECHEM LTD.
AGOL,Ashapuri Gold Ornament Ltd
ASHAI,ASHIANA AGRO INDUSTRIES LTD.
ASHIANA,ASHIANA HOUSING LTD.-$
ASHIS,ASHIANA ISPAT LTD.
ASHIKA,Ashika Credit Capital Ltd
ASHIMASYN,ASHIMA LTD.
ASHCAP,ASHIRWAD CAPITAL LTD.
ASHSI,ASHIRWAD STEELS & INDUSTRIES LTD.
ASHISHPO,ASHISH POLYPLAST LTD.
ASHNI,Ashnisha Industries Ltd
ASHNOOR,ASHNOOR TEXTILE MILLS LTD.
ASHOKALC,ASHOK ALCO-CHEM LTD.
ASHOKLEY,ASHOK LEYLAND LTD.
ASHOKA,ASHOKA BUILDCON LTD.
ASHOKAMET,Ashoka Metcast Ltd
ASHOKRE,ASHOKA REFINERIES LTD.
ASHRAM,ASHRAM ONLINE.COM LTD.
ASHUTPM,ASHUTOSH PAPER MILLS LTD.
ASIIL,ASI Industries Ltd
ASIACAP,Asia Capital Ltd
ASIAPAK,ASIA PACK LTD.
ASIANENE,Asian Energy Services Ltd
ASFLORA,ASIAN FLORA LTD.
ASIANTILES,ASIAN GRANITO INDIA LTD.
AHLEAST,ASIAN HOTELS (EAST) LTD.
ASIANHOTNR,Asian Hotels (North) Limited
ASIANPAINT,ASIAN PAINTS LTD.
ASINPET,ASIAN PETROPRODUCTS & EXPORTS LTD.
ASTAR,ASIAN STAR CO.LTD.-$
ASIANTNE,ASIAN TEA & EXPORTS LTD.-$
ASIAN,Asian Warehousing Ltd
ASITCFIN,ASIT C.MEHTA FINANCIAL SERVICES LTD.
ASMTEC,ASM TECHNOLOGIES LTD.
ASPIRA,Aspira Pathlab & Diagnostics Ltd
ASSAMENT,Assam Entrade Ltd
ASALCBR,ASSOCIATED ALCOHOLS & BREWERIES LTD.
ASSOCER,ASSOCIATED CERAMICS LTD.
ASTEC,ASTEC LIFESCIENCES LIMITED
ASTERDM,Aster DM Healthcare Ltd
ASTRAMICRO,ASTRA MICROWAVE PRODUCTS LTD.
ASTRAL,Astral Ltd
ASTRAZEN,ASTRAZENECA PHARMA INDIA LTD.
ASTRON,Astron Paper & Board Mill Ltd
ASUTENT,ASUTOSH ENTERPRISES LTD.
ATALREAL,Atal Realtech Ltd
ATAM,Atam Valves Ltd
ATHARVENT,ATHARV ENTERPRISES LTD.
ATHCON,Athena Constructions Ltd
ATHENAGLO,Athena Global Technologies Ltd-$
ATISHAY,Atishay Ltd
ATLANTA,ATLANTA LTD.
ATULAUTO,ATUL AUTO LTD.-$
ATUL,ATUL LTD.
ATVPR,ATV PROJECTS INDIA LTD.
AUBANK,AU Small Finance Bank Ltd
AURIONPRO,AURIONPRO SOLUTIONS LTD.
AUROLAB,AURO LABORATORIES LTD.
AUROPHARMA,AUROBINDO PHARMA LTD.
AURUM,Aurum PropTech Ltd
AUSOMENT,AuSom Enterprise Limited
AUSTENG,AUSTIN ENGINEERING CO.LTD.
AIIL,Authum Investment & Infrastructure Ltd
AUTOPINS,AUTO PINS (INDIA) LTD.
AUTOIND,AUTOLINE INDUSTRIES LTD.
ACGL,AUTOMOBILE CORPORATION OF GOA LTD.-$
AUTOAXLES,AUTOMOTIVE AXLES LTD.
ASAL,AUTOMOTIVE STAMPINGS & ASSEMBLIES LTD.
AUTOINT,AUTORIDERS INTERNATIONAL LTD.
AVADHSUGAR,Avadh Sugar & Energy Ltd
AVAILFC,AVAILABLE FINANCE LTD.
AVALON,Avalon Technologies Ltd
AVANCE,AVANCE TECHNOLOGIES LTD.
AVANTEL,AVANTEL LTD.
AVANTI,AVANTI FEEDS LTD.-$
AVASARA,Avasara Finance Ltd
AVEER,Aveer Foods Ltd
DMART,Avenue Supermarts Ltd
AVG,AVG Logistics Ltd
AVI,AVI Polymers Ltd
APIL,Avi Products India Ltd
AVIVA,AVIVA INDUSTRIES LTD.
AVONMORE,Avonmore Capital & Management Services Limited
AVROIND,Avro India Ltd
AVTNPL,AVT NATURAL PRODUCTS LTD.
AXELPOLY,AXEL POLYMERS LTD.
AXISBANK,AXIS BANK LTD.
AXISHETF,Axis NIFTY Healthcare ETF
AXISCETF,Axis NIFTY India Consumption ETF
AXISTECETF,Axis NIFTY IT ETF
AXISPEGP,AXIS S&P BSE SENSEX ETF
AXISCADES,Axiscades Technologies Ltd
AXITA,Axita Cotton Ltd
AXTEL,AXTEL INDUSTRIES LTD.
AYMSYNTEX,AYM Syntex Ltd
AYOME,AYOKI MERCANTILE LTD.
BNALTD,B & A LTD.
BRRL,B-Right Realestate Ltd
BPCAP,B. P. Capital Ltd
BAGFILMS,B.A.G.FILMS & MEDIA LTD.
BCP,B.C. Power Controls Ltd
BLKASHYAP,B.L.KASHYAP AND SONS LTD.
BNRSEC,B.N.RATHI SECURITIES LTD.
BAPACK,B&A Packaging India Limited
BBTCL,B&B Triplewall Containers Ltd
B2BSOFT,B2B SOFTWARE TECHNOLOGIES LTD.
BABA,BABA ARTS LTD.-$
BACPHAR,BACIL PHARMA LTD.
BAFNAPHARM,BAFNA PHARMACEUTICALS LTD.
BAIDFIN,Baid Finserv Ltd
BAJAJ-AUTO,BAJAJ AUTO LTD.
BAJAJCON,Bajaj Consumer Care Ltd
BAJAJELEC,BAJAJ ELECTRICALS LTD.-$
BAJFINANCE,Bajaj Finance Limited
BAJAJFINSV,BAJAJ FINSERV LTD.
BAJGLOB,BAJAJ GLOBAL LTD.
BAJAJHCARE,Bajaj Healthcare Ltd
BAJAJHIND,Bajaj Hindusthan Sugar Limited
BAJAJHLDNG,BAJAJ HOLDINGS & INVESTMENT LTD.
BAJAJST,BAJAJ STEEL INDUSTRIES LTD.
BALPHARMA,BAL PHARMA LTD.
BALAMINES,BALAJI AMINES LTD.-$
BALAJITELE,BALAJI TELEFILMS LTD.
BALGOPAL,Balgopal Commercial Ltd
BALKRISIND,BALKRISHNA INDUSTRIES LTD.-$
BALKRISHNA,Balkrishna Paper Mills Ltd
BALMLAWRIE,BALMER LAWRIE & CO.LTD.
BLIL,BALMER LAWRIE INVESTMENTS LTD.
BALRAMCHIN,BALRAMPUR CHINI MILLS LTD.
BALUFORGE,Balu Forge Industries Ltd
BALTE,BALURGHAT TECHNOLOGIES LTD.
BAMBINO,BAMBINO AGRO INDUSTRIES LTD.
BAMPSL,BAMPSL SECURITIES LTD.
BANARBEADS,BANARAS BEADS LTD.
BANASFN,BANAS FINANCE LTD.
BANCOINDIA,BANCO PRODUCTS (INDIA) LTD.-$
BANDARAM,Bandaram Pharma Packtech Ltd
BANDHANBNK,Bandhan Bank Ltd
BANG,BANG OVERSEAS LTD.
BFFL,Bangalore Fort Farms Ltd
BANKBARODA,BANK OF BARODA
BANKINDIA,BANK OF INDIA
MAHABANK,BANK OF MAHARASHTRA
BASML,BANNARI AMMAN SPINNING MILLS LTD.
BANARISUG,BANNARI AMMAN SUGARS LTD.
BRPL,Bansal Roofing Products Ltd
BANSTEA,BANSISONS TEA INDUSTRIES LTD.
BANSWRAS,BANSWARA SYNTEX LTD.-$
BVCL,BARAK VALLEY CEMENTS LTD.
BARBEQUE,Barbeque-Nation Hospitality Ltd
BAROEXT,BARODA EXTRUSION LTD.
BARODARY,BARODA RAYON CORPORATION LTD.
BARONINF,BARON INFOTECH LTD.
ASMS,BARTRONICS INDIA LTD.
BASANTGL,BASANT AGRO TECH (INDIA) LTD.-$
BASF,BASF INDIA LTD.
BATAINDIA,BATA INDIA LTD.
BATLIBOI,BATLIBOI LTD.-$
BAYERCROP,BAYER CROPSCIENCE LTD.
BAZELINTER,Bazel International Ltd
BCCFUBA,BCC FUBA INDIA LTD.
BCLENTERPR,BCL Enterprises Ltd
BCLIL,BCL Industries Ltd-$
BCPL,BCPL Railway Infrastructure Ltd
BDH,BDH INDUSTRIES LTD.
BEARDSELL,Beardsell Ltd
BEDMUTHA,BEDMUTHA INDUSTRIES LTD.
BNL,Beekay Niryat Ltd
BEEKAY,Beekay Steel Industries Ltd
BEEYU,BEEYU OVERSEAS LTD.
BELLACASA,Bella Casa Fashion & Retail Ltd
BEMHY,BEMCO HYDRAULICS LTD.
BLAL,BEML Land Assets Ltd
BEML,BEML LTD.
BENARA,Benara Bearings and Pistons Ltd
BENARAS,BENARES HOTELS LTD.
BENGALASM,BENGAL & ASSAM COMPANY LTD.
BENGALS,BENGAL STEEL INDUSTRIES LTD.
BENGALT,BENGAL TEA & FABRICS LTD.
BENTCOM,BENTLEY COMMERCIAL ENTERPRISES LTD.
BERGEPAINT,BERGER PAINTS INDIA LTD.
BERVINL,BERVIN INVESTMENT & LEASING LTD.
BERLDRG,BERYL DRUGS LTD.
BERYLSE,BERYL SECURITIES LTD.
BESTAGRO,Best Agrolife Ltd
BESTEAST,BEST EASTERN HOTELS LTD.
BETXIND,BETEX INDIA LTD.
BFINVEST,BF INVESTMENT LTD.
BFUTILITIE,BF UTILITIES LTD.-$
BFLAFL,BFL Asset Finvest Ltd
BGIL,BGIL FILMS & TECHNOLOGIES LTD.
BGRENERGY,BGR ENERGY SYSTEMS LTD.
BHAGIL,Bhageria Industries Ltd
BHAGCHEM,BHAGIRADHA CHEMICALS & INDUSTRIES LTD.
BGWTATO,BHAGWATI AUTOCAST LTD.
BHAGWOX,BHAGWATI OXYGEN LTD.
BHAGYNAGAR,BHAGYANAGAR INDIA LTD.
BGJL,Bhakti Gems and Jewellery Ltd
BHANDHOS,BHANDARI HOSIERY EXPORTS LTD.
BHANDERI,Bhanderi Infracon Ltd
BEPL,BHANSALI ENGINEERING POLYMERS LTD.-$
ICICIB22,BHARAT 22 ETF - ICICI Prudential AMC
BHARATAGRI,BHARAT AGRI FERT & REALTY LTD.
BHARAT,BHARAT BHUSHAN SHARE & COMMODITY BROKERS LTD.
BBL,BHARAT BIJLEE LTD.-$
BDL,Bharat Dynamics Ltd
BEL,BHARAT ELECTRONICS LTD.
BHARATFORG,BHARAT FORGE LTD.
BHARATGEAR,BHARAT GEARS LTD.
BHEL,BHARAT HEAVY ELECTRICALS LTD.
BIBCL,BHARAT IMMUNOLOGICALS & BIOLOGICALS CORPORATION LTD.-$
BPLPHARMA,Bharat Parenterals Ltd
BPCL,BHARAT PETROLEUM CORPORATION LTD.
BHARATRAS,BHARAT RASAYAN LTD.
BRNL,Bharat Road Network Ltd
BHARATSE,BHARAT SEATS LTD.-$
BHATEXT,BHARAT TEXTILES & PROOFING INDUSTRIES LTD.
BHARATWIRE,Bharat Wire Ropes Ltd
BGLOBAL,BHARATIYA GLOBAL INFOMEDIA LTD.
BHARTIARTL,BHARTI AIRTEL LTD.
BIL,BHARTIYA INTERNATIONAL LTD.
BHASKAGR,BHASKAR AGROCHEMICALS LTD.
BCCL,Bhatia Colour Chem Ltd
BHATIA,Bhatia Communications & Retail (India) Ltd
BHEEMACEM,BHEEMA CEMENTS LTD.
BHILSPIN,BHILWARA SPINNERS LTD.
BTTL,BHILWARA TECHNICAL TEXTILES LTD.
BHUDEVI,Bhudevi Infra Projects Ltd
BIGBLOC,Bigbloc Construction Ltd
BIHSPONG,BIHAR SPONGE IRON LTD.
BIJHANS,BIJOY HANS LTD.
BIKAJI,Bikaji Foods International Ltd
BI,BILCARE LTD.-$
BILLWIN,Billwin Industries Ltd
BIMETAL,BIMETAL BEARINGS LTD.-$
BINANIIND,BINANI INDUSTRIES LTD.
ZBINTXPP,BINAYAK TEX PROCESSORS LTD.
BINDALEXPO,Bindal Exports Ltd
BINNY,BINNY LTD.
BINNYMILLS,BINNY MILLS LTD.
BIOCON,BIOCON LTD.
BIOFILCHEM,BIOFIL CHEMICALS & PHARMACEUTICALS LTD.
BIOGEN,Biogen Pharmachem Industries Ltd
BIRLACABLE,Birla Cable Ltd
BIRLACORPN,BIRLA CORPORATION LTD.
BIRLAPREC,BIRLA PRECISION TECHNOLOGIES LTD.
BSOFT,Birlasoft Ltd
BISIL,Bisil Plast Limited
BITS,BITS LTD.
BIZOTIC,Bizotic Commercial Ltd
BKMINDST,BKM Industries Ltd
BKV,BKV INDUSTRIES LTD.
BBOX,Black Box Ltd
BLACKROSE,BLACK ROSE INDUSTRIES LTD.
BLBLIMITED,BLB LTD.
BLISSGVS,BLISS GVS PHARMA LTD.
BLOOM,BLOOM DEKOR LTD.-$
BLOIN,BLOOM INDUSTRIES LTD.
BLSINFOTE,BLS INFOTECH LTD.
BLS,BLS International Services Ltd
BLUECHIP,BLUE CHIP INDIA LTD.
BLUECHIPT,BLUE CHIP TEX INDUSTRIES LTD.
BLUECLOUDS,Blue Cloud Softech Solutions Ltd
BLUECOAST,BLUE COAST HOTELS LTD.
BLUEDART,BLUE DART EXPRESS LTD.
BLUEJET,Blue Jet Healthcare Ltd
BPTEX,Blue Pearl Texspin Limited
BLUESTARCO,BLUE STAR LTD.
BMBMUMG,BMB MUSIC & MAGNETICS LTD.
BMW,BMW Industries Ltd
BNHOLDINGS,BN Holdings Ltd
BNRUDY,BNR UDYOG LTD.
BODALCHEM,BODAL CHEMICALS LTD.
BTML,Bodhi Tree Multimedia Ltd
BODHTREE,Bodhtree Consulting Ltd
BBTC,BOMBAY BURMAH TRADING CORP.LTD.
BOMBCYC,BOMBAY CYCLE & MOTOR AGENCY LTD.
BOMDYEING,BOMBAY DYEING & MFG.CO.LTD.
